DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
12176969095,,ODP-BTU-FAH/26,-7.802065,112.527235,,,2,6,0,0,8,REGIONAL 5,MALANG,BATU,BTU,BATU,,2025-05-17 17:52:33,45794,2025,5,NON TITO,,,JAWA TIMUR,0.75,YELLOW,1498175061,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BUMIAJI,TULUNGREJO,BATU
12175846860,,ODP-TMP-FJ/93,-8.00234,112.813483,,,4,4,0,0,8,REGIONAL 5,MALANG,MALANG,TMP,TUMPANG,,2025-05-18 18:04:35,45794,2025,5,NON TITO,,,JAWA TIMUR,0.5,YELLOW,1498390263,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,TUMPANG,BENJOR,BATU
288059410,,ODP-BLB-FQ/23,-7.9298,112.6209,,,2,6,0,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:29:19,42483,2016,4,NON TITO,,,JAWA TIMUR,0.75,YELLOW,19388116,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TUNGGULWULUNG,BATU
288059650,,ODP-BLB-FQ/02,-7.9315,112.6225,,,3,12,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:29:19,42483,2016,4,NON TITO,,,JAWA TIMUR,0.75,YELLOW,19388308,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,MOJOLANGU,BATU
288059878,,ODP-BLB-FQ/54,-7.9326,112.6191,,,5,10,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:28:09,42483,2016,4,NON TITO,,,JAWA TIMUR,0.625,YELLOW,19388494,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,MOJOLANGU,BATU
12175846827,,ODP-TMP-FJ/91,-8.001917,112.816415,,,4,4,0,0,8,REGIONAL 5,MALANG,MALANG,TMP,TUMPANG,,2025-05-18 18:04:15,45794,2025,5,NON TITO,,,JAWA TIMUR,0.5,YELLOW,1498390238,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,TUMPANG,BENJOR,BATU
288060350,,ODP-BLB-FT/59,-7.9484,112.6273,,,6,9,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:21:55,42483,2016,4,NON TITO,,,JAWA TIMUR,0.5625,YELLOW,19388860,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,JATIMULYO,BATU
12176143919,,ODP-PKS-FX/78,-7.955093,112.728757,,,4,4,0,0,8,REGIONAL 5,MALANG,MALANG,PKS,PAKIS,,2025-05-18 18:04:30,45794,2025,5,NON TITO,,,JAWA TIMUR,0.5,YELLOW,1498178146,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,PAKIS,PAKISJAJAR,BATU
12176143914,,ODP-PKS-FX/77,-7.953931,112.729368,,,2,6,0,0,8,REGIONAL 5,MALANG,MALANG,PKS,PAKIS,,2025-05-18 18:03:46,45794,2025,5,NON TITO,,,JAWA TIMUR,0.75,YELLOW,1498178142,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,PAKIS,PAKISJAJAR,BATU
288060552,,ODP-BLB-FAA/32,-7.9367,112.6327,,,6,10,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:21:45,42483,2016,4,NON TITO,,,JAWA TIMUR,0.625,YELLOW,19389010,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,MOJOLANGU,BATU
12176143904,,ODP-PKS-FX/76,-7.954474,112.730386,,,4,4,0,0,8,REGIONAL 5,MALANG,MALANG,PKS,PAKIS,,2025-05-18 18:04:00,45794,2025,5,NON TITO,,,JAWA TIMUR,0.5,YELLOW,1498178136,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,PAKIS,PAKISJAJAR,BATU
288059295,,ODP-BLB-FS/26,-7.9464,112.628,,,3,11,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:28:50,42483,2016,4,NON TITO,,,JAWA TIMUR,0.6875,YELLOW,19388025,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TULUSREJO,BATU
288067009,,ODP-BLB-FAH/21,-7.94,112.6348,,,4,4,0,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:23:31,42483,2016,4,NON TITO,,,JAWA TIMUR,0.5,YELLOW,19393121,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,MOJOLANGU,BATU
12080823073,,ODP-SGS-FAN/26,-7.893629,112.643961,,,4,4,0,0,8,REGIONAL 5,MALANG,MALANG,SGS,SINGOSARI,,2025-03-27 17:49:06,45742,2025,3,NON TITO,,,JAWA TIMUR,0.5,YELLOW,1496470290,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,SINGOSARI,PURWOASRI,BATU
12080823068,,ODP-SGS-FAN/27,-7.892647,112.643026,,,4,4,0,0,8,REGIONAL 5,MALANG,MALANG,SGS,SINGOSARI,,2025-03-27 17:49:35,45742,2025,3,NON TITO,,,JAWA TIMUR,0.5,YELLOW,1496470287,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,SINGOSARI,PURWOASRI,BATU
12014293649,,ODP-BTU-FBH/44,-7.899725,112.53129,,,4,4,0,0,8,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-12-17 17:33:52,45642,2024,12,NON TITO,,,JAWA TIMUR,0.5,YELLOW,1495500380,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BATU,ORO-ORO OMBO,BATU
288072015,,ODP-BLB-FJ/56,-7.9454,112.6443,,,5,11,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:24:17,42483,2016,4,NON TITO,,,JAWA TIMUR,0.6875,YELLOW,19396147,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,BLIMBING,BLIMBING,BATU
12014293634,,ODP-BTU-FBH/42,-7.899999,112.531262,,,2,6,0,0,8,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-12-17 17:34:00,45642,2024,12,NON TITO,,,JAWA TIMUR,0.75,YELLOW,1495500371,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BATU,ORO-ORO OMBO,BATU
288072383,,ODP-BLB-FAA/84,-7.925109,112.633032,,,9,7,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:24:47,42483,2016,4,NON TITO,,,JAWA TIMUR,0.4375,YELLOW,19396357,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TUNJUNGSEKAR,BATU
12015118585,,ODP-LWG-FAJ/34,-7.817164,112.683872,,,2,6,0,0,8,REGIONAL 5,MALANG,MALANG,LWG,LAWANG,,2024-12-14 18:07:27,45639,2024,12,NON TITO,,,JAWA TIMUR,0.75,YELLOW,1495495315,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,LAWANG,TURIREJO,BATU
288072589,,ODP-BLB-FAR/31,-7.916674,112.645186,,,8,8,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:24:49,42483,2016,4,NON TITO,,,JAWA TIMUR,0.5,YELLOW,19396480,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,BLIMBING,BALEARJOSARI,BATU
12006419597,,ODP-LWG-FB/34,-7.867955,112.69574,,,3,5,0,0,8,REGIONAL 5,MALANG,MALANG,LWG,LAWANG,,2024-12-13 17:32:24,45638,2024,12,NON TITO,,,JAWA TIMUR,0.625,YELLOW,1495491650,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,LAWANG,BEDALI,BATU
12006419592,,ODP-LWG-FB/36,-7.866863,112.695204,,,4,4,0,0,8,REGIONAL 5,MALANG,MALANG,LWG,LAWANG,,2024-12-13 17:30:49,45638,2024,12,NON TITO,,,JAWA TIMUR,0.5,YELLOW,1495491647,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,LAWANG,BEDALI,BATU
