DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
1325787379,,ODP-BLR-FBD/18,-8.097354,112.166127,,,4,4,0,0,8,REGIONAL 5,KEDIRI,BLITAR,BLR,,,2024-03-16 23:24:03,42818,2017,3,NON TITO,,,JAWA TIMUR,0.5,YELLOW,79576487,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,KOTA BLITAR,KEPANJENKIDUL,KEPANJENLOR,BLITAR
4962644226,,ODP-SNT-FL/02,-8.076377,112.058757,,,4,12,0,0,16,REGIONAL 5,KEDIRI,BLITAR,SNT,,,2024-03-16 23:27:14,43963,2020,5,NON TITO,,,JAWA TIMUR,0.75,YELLOW,829782709,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,SRENGAT,WONOREJO,BLITAR
1325787384,,ODP-BLR-FBD/06,-8.094322,112.162407,,,5,11,0,0,16,REGIONAL 5,KEDIRI,BLITAR,BLR,,,2024-03-16 23:24:22,42818,2017,3,NON TITO,,,JAWA TIMUR,0.6875,YELLOW,79576491,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,KOTA BLITAR,KEPANJENKIDUL,KAUMAN,BLITAR
4963693558,,ODP-SNT-FD/10,-8.063725,112.057968,,,2,6,0,0,8,REGIONAL 5,KEDIRI,BLITAR,SNT,,,2024-03-16 23:27:50,43962,2020,5,NON TITO,,,JAWA TIMUR,0.75,YELLOW,829776464,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,SRENGAT,TOGOGAN,BLITAR
4963693553,,ODP-SNT-FD/12,-8.061258,112.060866,,,9,7,0,0,16,REGIONAL 5,KEDIRI,BLITAR,SNT,,,2024-03-16 23:27:48,43962,2020,5,NON TITO,,,JAWA TIMUR,0.4375,YELLOW,829776461,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,SRENGAT,TOGOGAN,BLITAR
1379828016,,ODP-KBN-FD/22,-8.141165,112.350579,,,3,5,0,0,8,REGIONAL 5,KEDIRI,BLITAR,KBN,,,2024-03-16 23:24:42,42851,2017,4,NON TITO,,,JAWA TIMUR,0.625,YELLOW,113797349,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,KESAMBEN,SIRAMAN,BLITAR
4963693543,,ODP-SNT-FD/11,-8.060829,112.059226,,,7,9,0,0,16,REGIONAL 5,KEDIRI,BLITAR,SNT,,,2024-03-16 23:26:11,43962,2020,5,NON TITO,,,JAWA TIMUR,0.5625,YELLOW,829776455,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,SRENGAT,TOGOGAN,BLITAR
4952368782,,ODP-PRB-FD/03,-7.714627,111.987809,,,7,9,0,0,16,REGIONAL 5,KEDIRI,BLITAR,BLR,,,2024-03-16 23:28:41,43961,2020,5,NON TITO,,,JAWA TIMUR,0.5625,YELLOW,829774536,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,NGANJUK,PRAMBON,NGLAWAK,BLITAR
1370893985,,ODP-WGI-FH/33,-8.131976,112.308427,,,6,10,0,0,16,REGIONAL 5,KEDIRI,BLITAR,WGI,,,2024-03-16 23:25:38,42844,2017,4,NON TITO,,,JAWA TIMUR,0.625,YELLOW,81773788,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,SELOPURO,PLOSO,BLITAR
1325788139,,ODP-BLR-FBD/15,-8.096173,112.164599,,,3,5,0,0,8,REGIONAL 5,KEDIRI,BLITAR,BLR,,,2024-03-16 23:24:20,42818,2017,3,NON TITO,,,JAWA TIMUR,0.625,YELLOW,79576966,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,KOTA BLITAR,KEPANJENKIDUL,KAUMAN,BLITAR
1371193790,,ODP-BLR-FJ/20,-8.128312,112.231418,,,2,6,0,0,8,REGIONAL 5,KEDIRI,BLITAR,BLR,,,2024-03-16 23:28:13,42844,2017,4,NON TITO,,,JAWA TIMUR,0.75,YELLOW,81772429,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,KANIGORO,KANIGORO,BLITAR
2401170152,,ODP-SNT-FZ/01,-8.063597,112.070418,,,2,6,0,0,8,REGIONAL 5,KEDIRI,BLITAR,SNT,,,2024-03-16 23:24:54,43192,2018,4,NON TITO,,,JAWA TIMUR,0.75,YELLOW,333492231,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,SRENGAT,DANDONG,BLITAR
1325788626,,ODP-BLR-FBD/20,-8.096533,112.167572,,,7,9,0,0,16,REGIONAL 5,KEDIRI,BLITAR,BLR,,,2024-03-16 23:24:19,42818,2017,3,NON TITO,,,JAWA TIMUR,0.5625,YELLOW,79577204,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,KOTA BLITAR,KEPANJENKIDUL,KEPANJENLOR,BLITAR
1345770210,,ODP-WGI-FC/24,-8.065864,112.329606,,,4,12,0,0,16,REGIONAL 5,KEDIRI,BLITAR,WGI,,,2024-03-16 23:25:09,42829,2017,4,NON TITO,,,JAWA TIMUR,0.75,YELLOW,81179321,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,WLINGI,BABADAN,BLITAR
1299734524,,ODP-PAN-FD/03,-8.036713,112.210665,,,3,5,0,0,8,REGIONAL 5,KEDIRI,BLITAR,PAN,,,2024-03-16 23:24:49,42796,2017,3,NON TITO,,,JAWA TIMUR,0.625,YELLOW,79295467,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,NGLEGOK,NGLEGOK,BLITAR
1299734514,,ODP-PAN-FD/01,-8.03264,112.200424,,,8,8,0,0,16,REGIONAL 5,KEDIRI,BLITAR,PAN,,,2024-03-16 23:27:49,42796,2017,3,NON TITO,,,JAWA TIMUR,0.5,YELLOW,79295461,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,BLITAR,NGLEGOK,KEMLOKO,BLITAR
5132593533,,ODP-BLR-FE/22,-8.098319,112.171495,,,4,4,0,0,8,REGIONAL 5,KEDIRI,BLITAR,BLR,,,2024-03-16 23:22:43,44008,2020,6,NON TITO,,,JAWA TIMUR,0.5,YELLOW,830980156,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,KOTA BLITAR,KEPANJENKIDUL,KEPANJENLOR,BLITAR
