DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
12043993561,,ODP-SMJ-FK/47,-7.250434,112.086474,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2025-01-31 17:55:19,45687,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495872251,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,LAMONGAN,MODO,JEGREG,BOJONEGORO
12383443556,,ODP-BJN-FP/104,-7.162514,111.862985,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2025-09-23 17:31:50,45922,2025,9,NON TITO,,,JAWA TIMUR,0.0,BLACK,1501073613,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,TRUCUK,TULUNGREJO,BOJONEGORO
12383443541,,ODP-BJN-FP/103,-7.162617,111.861955,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2025-09-23 17:30:32,45922,2025,9,NON TITO,,,JAWA TIMUR,0.0,BLACK,1501073600,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,TRUCUK,TULUNGREJO,BOJONEGORO
12377219895,,ODP-PAZ-FJ/16,-7.238977,111.685221,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-09-17 17:40:51,45916,2025,9,NON TITO,,,JAWA TIMUR,0.0,BLACK,1501101048,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,PURWOSARI,KALIOMBO,BOJONEGORO
12329668717,,ODP-PAZ-FG/12,-7.246376,111.704507,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-08-26 17:33:40,45894,2025,8,NON TITO,,,JAWA TIMUR,0.0,BLACK,1500650043,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,PURWOSARI,PELEM,BOJONEGORO
408518717,,ODP-BJN-F09/02,-7.148367,112.899286,,,13,0,0,0,16,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2024-03-16 23:23:47,42506,2016,5,NON TITO,,,JAWA TIMUR,0.0,BLACK,25409588,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BANGKALAN,KWANYAR,PANDANAN,BOJONEGORO
9469395443,,ODP-PAZ-FT/01,-7.277246,111.584159,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2024-03-16 23:26:17,44865,2022,10,NON TITO,,,JAWA TIMUR,0.0,BLACK,1248001129,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,TAMBAKREJO,JATIMULYO,BOJONEGORO
12329668675,,ODP-PAZ-FB/42,-7.173552,111.712948,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-08-26 17:33:23,45894,2025,8,NON TITO,,,JAWA TIMUR,0.0,BLACK,1500650017,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,GAYAM,GAYAM,BOJONEGORO
12107894527,,ODP-KDU-FA/76,-7.118672,111.748957,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,KDU,,,2025-04-21 23:48:39,45768,2025,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,1497354720,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,KALITIDU,TALOK,BOJONEGORO
12086818588,,ODP-SMJ-FP/03,-7.300435,111.969007,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2025-03-18 17:39:55,45734,2025,3,NON TITO,,,JAWA TIMUR,0.0,BLACK,1496340886,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,SUGIHWARAS,TRATE,BOJONEGORO
12107894532,,ODP-KDU-FA/78,-7.123419,111.750071,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,KDU,,,2025-04-21 23:48:43,45768,2025,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,1497354724,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,KALITIDU,TALOK,BOJONEGORO
12316168786,,ODP-PAZ-FJ/15,-7.19912,111.683799,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-08-25 23:23:07,45890,2025,8,NON TITO,,,JAWA TIMUR,0.0,BLACK,1500485665,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,PURWOSARI,PUNGGUR,BOJONEGORO
12118243754,,ODP-PAZ-FN/33,-7.306305,111.736412,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-04-24 17:49:06,45770,2025,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,1497305832,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,NGAMBON,KARANGMANGU,BOJONEGORO
12122219605,,ODP-PAZ-FN/40,-7.278446,111.730553,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-04-30 17:55:38,45776,2025,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,1497402214,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,NGASEM,MEDIYUNAN,BOJONEGORO
12122219610,,ODP-PAZ-FN/42,-7.283153,111.730365,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-04-30 17:56:05,45776,2025,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,1497402217,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,NGASEM,MEDIYUNAN,BOJONEGORO
12122219615,,ODP-PAZ-FN/39,-7.275681,111.730419,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-04-30 17:56:51,45776,2025,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,1497402220,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,NGASEM,MEDIYUNAN,BOJONEGORO
12305145214,,ODP-BJN-FL/127,-7.141034,111.856269,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2025-08-21 06:30:20,45889,2025,8,NON TITO,,,JAWA TIMUR,0.0,BLACK,1500484242,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,DANDER,NGABLAK,BOJONEGORO
6350369851,,ODP-BJN-FBL/24,-7.328776,111.88456,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2024-03-16 23:24:16,44309,2021,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,873429048,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,BUBULAN,NGOROGUNUNG,BOJONEGORO
12305145203,,ODP-BJN-FL/129,-7.147628,111.857375,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2025-08-21 06:27:47,45889,2025,8,NON TITO,,,JAWA TIMUR,0.0,BLACK,1500484234,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,DANDER,NGABLAK,BOJONEGORO
12321119570,,ODP-PAZ-FP/47,-7.123985,111.622036,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-08-25 23:23:00,45894,2025,8,NON TITO,,,JAWA TIMUR,0.0,BLACK,1500613174,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,KASIMAN,SAMBENG,BOJONEGORO
12122219625,,ODP-PAZ-FN/43,-7.28525,111.730835,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-04-30 17:55:45,45776,2025,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,1497402243,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,NGASEM,MEDIYUNAN,BOJONEGORO
12387193545,,ODP-BJN-FU/104,-7.19773,111.867698,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2025-09-23 17:30:58,45919,2025,9,NON TITO,,,JAWA TIMUR,0.0,BLACK,1501161497,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,DANDER,NGUMPAK DALEM,BOJONEGORO
12398743587,,ODP-PAZ-FD/78,-7.235996,111.531415,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,PAD,,,2025-09-25 17:48:53,45924,2025,9,NON TITO,,,JAWA TIMUR,0.0,BLACK,1501083229,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,NGRAHO,TAPELAN,BOJONEGORO
12025170409,,ODP-SMJ-FE/57,-7.28787,112.017313,,,8,0,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2024-12-28 17:33:18,45653,2024,12,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495552037,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,KEDUNGADEM,MEGALE,BOJONEGORO
