DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
130667200,,ODP-MJT-FP/07,-7.8121,112.0036,,,6,6,0,0,16,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-03-16 23:29:18,42427,2016,2,NON TITO,,,JAWA TIMUR,0.375,GREEN,7902649,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,MOJOROTO,BANDAR LOR,KEDIRI
130666005,,ODP-KAA-FD/01,-7.7659,112.26921,,,11,5,0,0,16,REGIONAL 5,KEDIRI,KEDIRI,KAA,,,2024-03-16 23:29:15,42427,2016,2,NON TITO,,,JAWA TIMUR,0.3125,GREEN,7901923,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,KEPUNG,DAMARWULAN,KEDIRI
11801220065,,ODP-KDI-FH/49,-7.856863,112.00263,,,6,2,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,KDI,,,2024-10-03 17:36:00,45567,2024,10,NON TITO,,,JAWA TIMUR,0.25,GREEN,1464950892,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,NGADILUWIH,WONOREJO,KEDIRI
12788672871,,ODP-GUR-FH/62,-7.765229,112.080383,,,5,3,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,GUR,,,2026-06-30 16:59:04,46202,2026,6,NON TITO,,,JAWA TIMUR,0.375,GREEN,1505538311,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,PAGU,PAGU,KEDIRI
130589960,,ODP-MJT-FM/18,-7.8196,112.0022,,,7,5,0,0,16,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2023-08-30 18:07:35,42427,2016,2,NON TITO,,,JAWA TIMUR,0.3125,GREEN,7826384,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,MOJOROTO,BANDAR LOR,KEDIRI
12747718705,,ODP-GUR-FD/40,-7.793414,112.082295,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,GUR,,,2026-05-29 17:50:08,46171,2026,5,NON TITO,,,JAWA TIMUR,0.125,GREEN,1505310975,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,PAGU,KAMBINGAN,KEDIRI
11682196546,,ODP-SBI-FB/02,-8.013286,112.003065,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,SBI,,,2024-08-21 17:24:08,45524,2024,8,NON TITO,,,JAWA TIMUR,0.125,GREEN,1457068458,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,RINGINREJO,JEMEKAN,KEDIRI
11750520288,,ODP-WAT-FD/27,-7.94623,112.100883,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,WAT,,,2024-09-24 23:44:44,45558,2024,9,NON TITO,,,JAWA TIMUR,0.125,GREEN,1463232099,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,WATES,DUWET,KEDIRI
130943769,,ODP-WAT-FC/07,-7.923851,112.092737,,,5,3,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,WAT,,,2024-03-16 23:24:46,42428,2016,2,NON TITO,,,JAWA TIMUR,0.375,GREEN,7973981,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,WATES,POJOK,KEDIRI
11801893896,,ODP-MJT-FC/57,-7.75001,111.963493,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-10-03 17:36:34,45567,2024,10,NON TITO,,,JAWA TIMUR,0.125,GREEN,1464950290,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,GROGOL,GROGOL,KEDIRI
130660803,,ODP-WAT-FA/14,-7.9181,112.1231,,,5,3,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,WAT,,,2023-08-30 18:06:52,42427,2016,2,NON TITO,,,JAWA TIMUR,0.375,GREEN,7898294,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,WATES,TAWANG,KEDIRI
11793343612,,ODP-WAT-FK/21,-7.886879,112.061496,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,WAT,,,2024-09-29 17:25:10,45563,2024,9,NON TITO,,,JAWA TIMUR,0.125,GREEN,1463264208,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,WATES,JOHO,KEDIRI
12525269290,,OTB-MJT-FK/01,-7.813451,111.994232,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2026-01-04 17:56:47,46025,2026,1,NON TITO,,,JAWA TIMUR,0.125,GREEN,1503171392,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,MOJOROTO,SUKORAME,KEDIRI
11782618559,,ODP-MJT-FH/68,-7.838296,111.981294,,,6,2,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-09-26 18:27:24,45561,2024,9,NON TITO,,,JAWA TIMUR,0.25,GREEN,1463247429,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,SEMEN,BOBANG,KEDIRI
11644245016,,ODP-MJT-FAL/13,-7.850556,111.986478,,,5,3,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-08-09 17:35:21,45512,2024,8,NON TITO,,,JAWA TIMUR,0.375,GREEN,1456237600,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,SEMEN,SIDOMULYO,KEDIRI
130667000,,ODP-MJT-FCLJ/03,-7.7996,112.0021,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-03-16 23:29:06,42427,2016,2,NON TITO,,,JAWA TIMUR,0.125,GREEN,7902525,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,MOJOROTO,MOJOROTO,KEDIRI
130666068,,ODP-MJT-FCLF/03,-7.811919,111.993997,,,9,6,0,0,16,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-03-16 23:28:33,42427,2016,2,NON TITO,,,JAWA TIMUR,0.375,GREEN,7901963,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,MOJOROTO,SUKORAME,KEDIRI
11801893881,,ODP-MJT-FC/58,-7.750302,111.964745,,,5,3,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-10-03 17:36:39,45567,2024,10,NON TITO,,,JAWA TIMUR,0.375,GREEN,1464950280,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,GROGOL,GROGOL,KEDIRI
4417168601,,ODP-KDI-FBL/04,-7.808969,112.018434,,,5,3,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,KDI,,,2023-07-28 17:54:45,43812,2019,12,NON TITO,,,JAWA TIMUR,0.375,GREEN,789324040,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,KOTA,DANDANGAN,KEDIRI
140168699,,ODP-KDI-FU/13,-7.8103,112.0529,,,5,3,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,KDI,,,2024-03-16 23:22:38,42434,2016,3,NON TITO,,,JAWA TIMUR,0.375,GREEN,8175312,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,NGASEM,PARON,KEDIRI
11757268912,,ODP-MJT-FH/65,-7.84274,111.987724,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-09-25 17:35:04,45560,2024,9,NON TITO,,,JAWA TIMUR,0.125,GREEN,1463240602,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,SEMEN,SIDOMULYO,KEDIRI
