DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
4184819103,,ODP-MLG-FX/60,-7.977236,112.655115,,,0,8,0,0,8,REGIONAL 5,MALANG,MALANG,SWJ,SAWOJAJAR,,2024-03-16 23:26:51,43768,2019,10,NON TITO,,,JAWA TIMUR,1.0,RED,690838507,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,KEDUNGKANDANG,SAWOJAJAR,KEPANJEN
5121044891,,ODP-MLG-FFA/59,-7.983247,112.629774,,,0,8,0,0,8,REGIONAL 5,MALANG,MALANG,MLG,MALANG KOTA,,2023-08-30 17:58:16,44007,2020,6,NON TITO,,,JAWA TIMUR,1.0,RED,830978931,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,KLOJEN,KIDUL DALEM,KEPANJEN
5440018975,,ODP-MLG-FFS/22,-7.964572,112.625733,,,0,8,0,0,8,REGIONAL 5,MALANG,MALANG,MLG,MALANG KOTA,,2024-03-16 23:24:44,44100,2020,9,NON TITO,,,JAWA TIMUR,1.0,RED,843823838,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,KLOJEN,ORO-ORO DOWO,KEPANJEN
1083125922,,ODP-KLJ-FAJ/16,-7.992477,112.605362,,,0,16,0,0,16,REGIONAL 5,MALANG,MALANG,KLJ,KLOJEN,,2024-03-16 23:25:52,42704,2016,11,NON TITO,,,JAWA TIMUR,1.0,RED,38635553,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,SUKUN,MULYOREJO,KEPANJEN
4226668949,,ODP-KEP-FC/132,-8.14596,112.568479,,,0,8,0,0,8,REGIONAL 5,MALANG,KEPANJEN,KEP,KEPANJEN,,2024-03-16 23:24:29,43775,2019,11,NON TITO,,,JAWA TIMUR,1.0,RED,757288838,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,KEPANJEN,PANGGUNGREJO,KEPANJEN
10777169012,,ODP-MLG-FEL/91,-7.977726,112.628217,,,0,8,0,0,8,REGIONAL 5,MALANG,MALANG,MLG,MALANG KOTA,,2024-03-16 23:28:21,45216,2023,10,NON TITO,,,JAWA TIMUR,1.0,RED,1329224899,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,KLOJEN,KAUMAN,KEPANJEN
4280743874,,ODP-DNO-FD/10,-8.301587,112.496197,,,0,8,0,0,8,REGIONAL 5,MALANG,KEPANJEN,DNO,DONOMULYO,,2024-03-16 23:27:40,43782,2019,11,NON TITO,,,JAWA TIMUR,1.0,RED,787148392,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,PAGAK,SUMBERMANJING KULON,KEPANJEN
10776793859,,ODP-GDG-FAU/18,-8.010283,112.541078,,,0,8,0,0,8,REGIONAL 5,MALANG,MALANG,GDG,GADANG,,2024-03-16 23:24:18,45216,2023,10,NON TITO,,,JAWA TIMUR,1.0,RED,1329222277,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,WAGIR,SUMBERSUKO,KEPANJEN
4226668964,,ODP-KEP-FC/130,-8.143807,112.563233,,,0,8,0,0,8,REGIONAL 5,MALANG,KEPANJEN,KEP,KEPANJEN,,2024-03-16 23:26:10,43775,2019,11,NON TITO,,,JAWA TIMUR,1.0,RED,757288848,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,KEPANJEN,CEPOKOMULYO,KEPANJEN
4257793655,,ODP-GKW-FA/10,-8.091926,112.517344,,,0,8,0,0,8,REGIONAL 5,MALANG,KEPANJEN,GKW,GUNUNG KAWI,,2024-03-16 23:29:03,43777,2019,11,NON TITO,,,JAWA TIMUR,1.0,RED,758191229,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,WONOSARI,PLANDI,KEPANJEN
