DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
387790415,,ODP-MNZ-FT/19,-7.6392,111.5236,,,11,4,0,0,16,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:23:45,42502,2016,5,NON TITO,,,JAWA TIMUR,0.25,GREEN,23425112,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,TAMAN,TAMAN,MADIUN
387790491,,ODP-MNZ-FK/14,-7.6549,111.5194,,,3,3,0,0,8,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:23:52,42502,2016,5,NON TITO,,,JAWA TIMUR,0.375,GREEN,23425157,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,TAMAN,PANDEAN,MADIUN
642869012,,ODP-MSP-FF/10,-7.619234,111.471042,,,7,1,0,0,8,REGIONAL 5,MADIUN,MADIUN,MSP,,,2024-03-16 23:23:35,42522,2016,6,NON TITO,,,JAWA TIMUR,0.125,GREEN,33540895,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,JIWAN,KINCANG WETAN,MADIUN
387790542,,ODP-MNZ-FL/33,-7.6512,111.5294,,,6,2,0,0,8,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:24:19,42502,2016,5,NON TITO,,,JAWA TIMUR,0.25,GREEN,23425182,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,TAMAN,BANJAREJO,MADIUN
387790543,,ODP-MNZ-FK/16,-7.6557,111.5158,,,13,1,0,0,16,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:24:09,42502,2016,5,NON TITO,,,JAWA TIMUR,0.0625,GREEN,23425183,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,MANGUHARJO,NAMBANGAN KIDUL,MADIUN
387790357,,ODP-MNZ-FM/21,-7.6384,111.5405,,,5,3,0,0,8,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:24:11,42502,2016,5,NON TITO,,,JAWA TIMUR,0.375,GREEN,23425073,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,TAMAN,MANISREJO,MADIUN
681643816,,ODP-MSP-FA/18,-7.589597,111.420205,,,5,2,0,0,8,REGIONAL 5,MADIUN,MADIUN,MSP,,,2024-03-16 23:23:23,42535,2016,6,NON TITO,,,JAWA TIMUR,0.25,GREEN,33584818,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,MAOSPATI,GULUN,MADIUN
652168997,,ODP-MNZ-FA/14,-7.651564,111.523064,,,10,6,0,0,16,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:23:29,42527,2016,6,NON TITO,,,JAWA TIMUR,0.375,GREEN,33557017,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,TAMAN,PANDEAN,MADIUN
654043704,,ODP-MNZ-FAW/07,-7.592996,111.531438,,,13,3,0,0,16,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:24:46,42528,2016,6,NON TITO,,,JAWA TIMUR,0.1875,GREEN,33558977,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,SAWAHAN,SIDOMULYO,MADIUN
387790664,,ODP-MNZ-FAL/16,-7.6468,111.5096,,,5,3,0,0,8,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:23:47,42502,2016,5,NON TITO,,,JAWA TIMUR,0.375,GREEN,23425253,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,MANGUHARJO,NAMBANGAN KIDUL,MADIUN
