DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
3728443970,,ODP-NJK-FAF/03,-7.726806,111.773492,,,7,9,0,0,16,REGIONAL 5,KEDIRI,NGANJUK,NJK,,,2024-03-16 23:22:46,43664,2019,7,NON TITO,,,JAWA TIMUR,0.5625,YELLOW,640297800,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,SAWAHAN,SAWAHAN,NGANJUK
3817244842,,ODP-NJK-FS/64,-7.693444,111.889615,,,2,6,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,NJK,,,2024-03-16 23:25:46,43712,2019,9,NON TITO,,,JAWA TIMUR,0.75,YELLOW,643224822,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,LOCERET,GENJENG,NGANJUK
4353794179,,ODP-KTS-FE/74,-7.589389,112.101698,,,4,4,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:24:14,43798,2019,11,NON TITO,,,JAWA TIMUR,0.5,YELLOW,787617560,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,KERTOSONO,PANDANTOYO,NGANJUK
4353794184,,ODP-KTS-FE/70,-7.586529,112.104479,,,6,10,0,0,16,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:24:00,43798,2019,11,NON TITO,,,JAWA TIMUR,0.625,YELLOW,787617563,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,KERTOSONO,KUDU,NGANJUK
4353794189,,ODP-KTS-FE/66,-7.590681,112.108192,,,3,5,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:24:14,43798,2019,11,NON TITO,,,JAWA TIMUR,0.625,YELLOW,787617566,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,KERTOSONO,KUDU,NGANJUK
4353794199,,ODP-KTS-FE/73,-7.588234,112.102071,,,3,5,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:24:26,43798,2019,11,NON TITO,,,JAWA TIMUR,0.625,YELLOW,787617572,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,KERTOSONO,PANDANTOYO,NGANJUK
4353794209,,ODP-KTS-FE/72,-7.587528,112.102288,,,4,4,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:24:24,43798,2019,11,NON TITO,,,JAWA TIMUR,0.5,YELLOW,787617578,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,KERTOSONO,KUDU,NGANJUK
4353794214,,ODP-KTS-FE/61,-7.588163,112.110535,,,3,5,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:24:28,43798,2019,11,NON TITO,,,JAWA TIMUR,0.625,YELLOW,787617581,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,KERTOSONO,KUDU,NGANJUK
4353794219,,ODP-KTS-FE/67,-7.586682,112.107249,,,3,5,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:21:09,43798,2019,11,NON TITO,,,JAWA TIMUR,0.625,YELLOW,787617584,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,KERTOSONO,KUDU,NGANJUK
4353794224,,ODP-KTS-FE/68,-7.58925,112.106611,,,2,6,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:23:42,43798,2019,11,NON TITO,,,JAWA TIMUR,0.75,YELLOW,787617588,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,KERTOSONO,KUDU,NGANJUK
