DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
2327302948,,ODP-JGO-FE/01,-7.491254,111.311073,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,JGO,,,2024-03-16 23:28:36,43176,2018,3,NON TITO,,,JAWA TIMUR,0.875,ORANGE,333319960,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,PARON,GENTONG,NGAWI
2248470708,,ODP-NWI-FF/49,-7.403081,111.442009,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:27:11,43152,2018,2,NON TITO,,,JAWA TIMUR,0.875,ORANGE,323945030,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,NGAWI,MARGOMULYO,NGAWI
387851502,,ODP-NWI-FQ/16,-7.396808,111.451249,,,1,15,0,0,16,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:23:25,42502,2016,5,NON TITO,,,JAWA TIMUR,0.9375,ORANGE,23485380,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,NGAWI,PELEM,NGAWI
387851586,,ODP-NWI-FG/27,-7.395983,111.445627,,,3,13,0,0,16,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:23:22,42502,2016,5,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,23485428,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,NGAWI,KETANGGI,NGAWI
387851628,,ODP-NWI-FQ/11,-7.39478,111.451565,,,3,13,0,0,16,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:23:07,42502,2016,5,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,23485448,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,NGAWI,PELEM,NGAWI
650594811,,ODP-MGT-FZ/22,-7.68344,111.247907,,,1,15,0,0,16,REGIONAL 5,MADIUN,NGAWI,MGT,,,2024-03-16 23:22:30,42528,2016,6,NON TITO,,,JAWA TIMUR,0.9375,ORANGE,33412669,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,PLAOSAN,PLAOSAN,NGAWI
2159294201,,ODP-MGT-FP/03,-7.67558,111.324943,,,0,15,1,0,16,REGIONAL 5,MADIUN,NGAWI,MGT,,,2024-03-16 23:26:17,43123,2018,1,NON TITO,,,JAWA TIMUR,0.9375,ORANGE,289514006,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,NGARIBOYO,BALEGONDO,NGAWI
619768962,,ODP-MGT-F06/02,-7.658904,111.333198,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,MGT,,,2024-03-16 23:28:31,42515,2016,5,NON TITO,,,JAWA TIMUR,0.875,ORANGE,32965870,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,MAGETAN,BULUKERTO,NGAWI
408518409,,ODP-SAR-FB/15,-7.681007,111.236594,,,2,14,0,0,16,REGIONAL 5,MADIUN,NGAWI,SAR,,,2024-03-16 23:23:07,42506,2016,5,NON TITO,,,JAWA TIMUR,0.875,ORANGE,25409330,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,PLAOSAN,DADI,NGAWI
397933390,,ODP-NWI-FB/66,-7.469819,111.431499,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:21:33,42503,2016,5,NON TITO,,,JAWA TIMUR,0.875,ORANGE,24009570,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,PARON,TEMPURAN,NGAWI
2155320150,,ODP-NWI-FE/118,-7.423781,111.445648,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:24:17,43124,2018,1,NON TITO,,,JAWA TIMUR,0.875,ORANGE,291837612,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,NGAWI,BERAN,NGAWI
397483584,,ODP-NWI-FB/64,-7.476323,111.43078,,,1,15,0,0,16,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:24:10,42503,2016,5,NON TITO,,,JAWA TIMUR,0.9375,ORANGE,23933092,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,PARON,TEMPURAN,NGAWI
2155320217,,ODP-NWI-FE/120,-7.422324,111.441585,,,1,15,0,0,16,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:24:04,43124,2018,1,NON TITO,,,JAWA TIMUR,0.9375,ORANGE,291912520,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,NGAWI,BERAN,NGAWI
387853676,,ODP-MGT-FA/16,-7.6288,111.3057,,,2,14,0,0,16,REGIONAL 5,MADIUN,NGAWI,MGT,,,2024-03-16 23:23:44,42502,2016,5,NON TITO,,,JAWA TIMUR,0.875,ORANGE,23486626,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,PANEKAN,TANJUNGSARI,NGAWI
2155320227,,ODP-NWI-FE/115,-7.424815,111.441211,,,2,13,0,0,16,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:24:17,43124,2018,1,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,291912523,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,NGAWI,BERAN,NGAWI
2178793613,,ODP-MGT-FAA/140,-7.654406,111.33244,,,3,13,0,0,16,REGIONAL 5,MADIUN,NGAWI,MGT,,,2024-03-16 23:22:35,43125,2018,1,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,294169939,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,MAGETAN,KEBONAGUNG,NGAWI
387853492,,ODP-WKU-FA/08,-7.3762,111.225,,,2,14,0,0,16,REGIONAL 5,MADIUN,NGAWI,WKU,,,2024-03-16 23:23:47,42502,2016,5,NON TITO,,,JAWA TIMUR,0.875,ORANGE,23486523,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,WIDODAREN,WIDODAREN,NGAWI
