DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
8433875176,,ODP-PON-FAH/05,-7.877415,111.434023,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,PON,,,2024-03-16 23:27:22,44608,2022,2,NON TITO,,,JAWA TIMUR,0.0,BLACK,1166328774,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,SUKOREJO,MOROSARI,PONOROGO
8499793914,,ODP-SMO-FD/04,-7.862746,111.335847,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,SMO,,,2024-03-16 23:26:11,44630,2022,3,NON TITO,,,JAWA TIMUR,0.0,BLACK,1168706457,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,SAMPUNG,GELANGKULON,PONOROGO
11843218927,,ODP-PON-FAS/64,-7.875226,111.48577,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,PON,,,2024-10-16 17:27:00,45581,2024,10,NON TITO,,,JAWA TIMUR,0.0,BLACK,1465545160,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,PONOROGO,TONATAN,PONOROGO
11833395406,,ODP-SMO-FA/87,-7.886513,111.425722,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,SMO,,,2024-10-16 17:28:12,45581,2024,10,NON TITO,,,JAWA TIMUR,0.0,BLACK,1465686878,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,KAUMAN,GABEL,PONOROGO
11833395411,,ODP-SMO-FA/88,-7.886487,111.424414,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,SMO,,,2024-10-16 17:26:43,45581,2024,10,NON TITO,,,JAWA TIMUR,0.0,BLACK,1465686882,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,KAUMAN,GABEL,PONOROGO
11833395417,,ODP-SMO-FA/86,-7.886548,111.427575,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,SMO,,,2024-10-16 17:28:03,45581,2024,10,NON TITO,,,JAWA TIMUR,0.0,BLACK,1465686886,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,KAUMAN,GABEL,PONOROGO
387787998,,ODP-PON-FAP/04,-7.8646,111.5024,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,PON,,,2024-03-16 23:23:22,42502,2016,5,NON TITO,,,JAWA TIMUR,0.0,BLACK,23423707,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,SIMAN,TAJUG,PONOROGO
11831445306,,ODP-PON-FAR/46,-7.879429,111.479394,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,PON,,,2024-10-17 17:29:22,45581,2024,10,NON TITO,,,JAWA TIMUR,0.0,BLACK,1465687549,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,PONOROGO,PURBOSUMAN,PONOROGO
11828221310,,ODP-SMO-FA/89,-7.881901,111.420721,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,SMO,,,2024-10-17 17:29:19,45582,2024,10,NON TITO,,,JAWA TIMUR,0.0,BLACK,1465692299,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,KAUMAN,GABEL,PONOROGO
11804219562,,ODP-SMO-FE/41,-7.901893,111.423769,,,8,0,0,0,8,REGIONAL 5,MADIUN,PONOROGO,SMO,,,2024-10-10 17:26:21,45574,2024,10,NON TITO,,,JAWA TIMUR,0.0,BLACK,1465164921,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,PONOROGO,KAUMAN,SUKOSARI,PONOROGO
