DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
1841594950,,ODP-KWR-FA/07,-8.180859,111.982413,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,KWR,,,2024-03-16 23:26:49,42998,2017,9,NON TITO,,,JAWA TIMUR,0.0,BLACK,194049079,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,TULUNGAGUNG,KALIDAWIR,KALIDAWIR,TULUNG AGUNG
7472595045,,ODP-TRE-FP/47,-8.099873,111.730209,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,TRE,,,2024-03-16 23:27:56,44438,2021,8,NON TITO,,,JAWA TIMUR,0.0,BLACK,1030170237,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,TRENGGALEK,POGALAN,WONOCOYO,TULUNG AGUNG
11992994293,,ODP-KWR-FA/82,-8.172643,111.973412,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,KWR,,,2024-12-03 17:34:20,45628,2024,12,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495357623,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,TULUNGAGUNG,KALIDAWIR,KARANGTALUN,TULUNG AGUNG
11992994298,,ODP-KWR-FA/83,-8.174844,111.973516,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,KWR,,,2024-12-03 17:34:23,45628,2024,12,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495357626,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,TULUNGAGUNG,KALIDAWIR,KARANGTALUN,TULUNG AGUNG
11993069139,,ODP-KWR-FC/59,-8.157348,111.965785,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,KWR,,,2024-12-03 17:34:32,45628,2024,12,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495358604,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,TULUNGAGUNG,KALIDAWIR,TUNGGANGRI,TULUNG AGUNG
11995094447,,ODP-NGU-FB/48,-8.110252,112.040474,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,NGU,,,2024-12-03 17:33:58,45628,2024,12,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495406437,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,TULUNGAGUNG,REJOTANGAN,BUNTARAN,TULUNG AGUNG
3210797303,,ODP-TRE-FM/37,-8.088144,111.711504,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,TRE,,,2024-03-16 23:25:30,43464,2018,12,NON TITO,,,JAWA TIMUR,0.0,BLACK,408332972,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,TRENGGALEK,TRENGGALEK,KARANGSOKO,TULUNG AGUNG
8620846267,,ODP-CAT-FJ/08,-8.210082,111.824445,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,CAT,,,2024-03-16 23:28:32,44658,2022,4,NON TITO,,,JAWA TIMUR,0.0,BLACK,1175839892,AREA 3,JATIM,MALANG,TULUNGAGUNG,,,0,0,0,JAWA TIMUR,TULUNGAGUNG,CAMPUR DARAT,NGENTRONG,TULUNG AGUNG
12008218558,,ODP-TRE-FL/64,-8.089529,111.655608,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,TRE,,,2024-12-05 17:28:00,45630,2024,12,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495371188,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,TRENGGALEK,KARANGAN,JATI,TULUNG AGUNG
12008218568,,ODP-TRE-FL/63,-8.089311,111.653415,,,8,0,0,0,8,REGIONAL 5,KEDIRI,TULUNG AGUNG,TRE,,,2024-12-05 17:28:35,45630,2024,12,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495371194,AREA 3,JATIM,MADIUN,PONOROGO,,,0,0,0,JAWA TIMUR,TRENGGALEK,KARANGAN,JATI,TULUNG AGUNG
