DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
2468668710,,ODP-BTU-FD/74,-7.866345,112.518839,,,1,7,0,0,8,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:25:18,2018-04-25,2018,4,NON TITO,,,JAWA TIMUR,0.875,ORANGE,353604872,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BATU,PESANGGRAHAN,BATU
5395019143,,ODP-TMP-FJ/30,-8.006675,112.758929,,,1,7,0,0,8,REGIONAL 5,MALANG,MALANG,TMP,TUMPANG,,2024-03-16 23:25:02,2020-09-11,2020,9,NON TITO,,,JAWA TIMUR,0.875,ORANGE,842898505,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,TUMPANG,TUMPANG,BATU
2468668823,,ODP-BTU-FD/86,-7.86997,112.523272,,,3,13,0,0,16,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:25:40,2018-04-25,2018,4,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,353604958,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BATU,NGAGLIK,BATU
5661869346,,ODP-BLB-FCF/52,-7.939175,112.620496,,,1,7,0,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:27:12,2020-11-15,2020,11,NON TITO,,,JAWA TIMUR,0.875,ORANGE,856776496,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TULUSREJO,BATU
2468668816,,ODP-BTU-FD/80,-7.864899,112.520626,,,2,14,0,0,16,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:25:46,2018-04-25,2018,4,NON TITO,,,JAWA TIMUR,0.875,ORANGE,353604953,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BATU,NGAGLIK,BATU
5661869343,,ODP-BLB-FCF/48,-7.939021,112.621019,,,0,7,1,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:27:39,2020-11-15,2020,11,NON TITO,,,JAWA TIMUR,0.875,ORANGE,856776494,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TULUSREJO,BATU
5395019167,,ODP-TMP-FJ/24,-8.006198,112.761654,,,3,13,0,0,16,REGIONAL 5,MALANG,MALANG,TMP,TUMPANG,,2024-03-16 23:24:41,2020-09-11,2020,9,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,842898522,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,TUMPANG,TUMPANG,BATU
2468668764,,ODP-BTU-FD/84,-7.869043,112.523245,,,3,13,0,0,16,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:25:32,2018-04-25,2018,4,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,353604911,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BATU,NGAGLIK,BATU
2468668737,,ODP-BTU-FD/81,-7.866504,112.521331,,,3,13,0,0,16,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:25:30,2018-04-25,2018,4,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,353604892,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BATU,NGAGLIK,BATU
5661869337,,ODP-BLB-FCF/43,-7.939116,112.621316,,,1,7,0,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:28:00,2020-11-15,2020,11,NON TITO,,,JAWA TIMUR,0.875,ORANGE,856776490,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TULUSREJO,BATU
2302769348,,ODP-BTU-FF/40,-7.897414,112.529958,,,1,7,0,0,8,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:26:44,2018-03-09,2018,3,NON TITO,,,JAWA TIMUR,0.875,ORANGE,324537386,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,BATU,ORO-ORO OMBO,BATU
5661869358,,ODP-BLB-FCF/44,-7.938743,112.621545,,,1,7,0,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:27:47,2020-11-15,2020,11,NON TITO,,,JAWA TIMUR,0.875,ORANGE,856776504,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TULUSREJO,BATU
2264607457,,ODP-KPO-FBH/36,-7.915404,112.595249,,,2,14,0,0,16,REGIONAL 5,MALANG,BATU,KPO,KARANGPLOSO,,2024-03-16 23:25:09,2018-03-07,2018,3,NON TITO,,,JAWA TIMUR,0.875,ORANGE,324128365,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,KARANGPLOSO,TEGALGONDO,BATU
5156370874,,ODP-BLB-FBG/105,-7.930516,112.632841,,,1,7,0,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:23:26,2020-07-03,2020,7,NON TITO,,,JAWA TIMUR,0.875,ORANGE,830958437,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,TUNJUNGSEKAR,BATU
2264607446,,ODP-KPO-FBH/28,-7.914694,112.595726,,,0,7,0,0,8,REGIONAL 5,MALANG,BATU,KPO,KARANGPLOSO,,2024-03-16 23:25:02,2018-03-07,2018,3,NON TITO,,,JAWA TIMUR,0.875,ORANGE,324128358,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,KARANGPLOSO,TEGALGONDO,BATU
2510743573,,ODP-BTU-FAQ/10,-7.843065,112.465996,,,3,13,0,0,16,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:23:34,2018-05-12,2018,5,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,353780552,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,PUJON,NGROTO,BATU
2510743563,,ODP-BTU-FAQ/11,-7.843875,112.468243,,,2,14,0,0,16,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:23:38,2018-05-12,2018,5,NON TITO,,,JAWA TIMUR,0.875,ORANGE,353780543,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,PUJON,PUJON LOR,BATU
288075320,,ODP-BLB-FAT/10,-7.9634,112.6339,,,3,13,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:25:14,2016-04-23,2016,4,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,19398134,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,LOWOKWARU,BATU
2269771559,,ODP-BLB-FCV/35,-7.941502,112.614891,,,2,14,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:22:59,2018-02-24,2018,2,NON TITO,,,JAWA TIMUR,0.875,ORANGE,324030604,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,JATIMULYO,BATU
288075198,,ODP-BLB-FJ/66,-7.949806,112.642887,,,3,13,0,0,16,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:24:52,2016-04-23,2016,4,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,19398065,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,BLIMBING,PURWANTORO,BATU
2510743558,,ODP-BTU-FAQ/13,-7.840732,112.467352,,,2,14,0,0,16,REGIONAL 5,MALANG,BATU,BTU,BATU,,2024-03-16 23:24:00,2018-05-12,2018,5,NON TITO,,,JAWA TIMUR,0.875,ORANGE,353780540,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,PUJON,PUJON LOR,BATU
2269771569,,ODP-KPO-FBG/25,-7.904723,112.566815,,,1,7,0,0,8,REGIONAL 5,MALANG,BATU,KPO,KARANGPLOSO,,2024-03-16 23:23:03,2018-02-24,2018,2,NON TITO,,,JAWA TIMUR,0.875,ORANGE,324030607,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA BATU,JUNREJO,MOJOREJO,BATU
5165368575,,ODP-BLB-FCR/79,-7.934174,112.620188,,,1,7,0,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:21:05,2020-07-04,2020,7,NON TITO,,,JAWA TIMUR,0.875,ORANGE,831038101,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,LOWOKWARU,MOJOLANGU,BATU
5357893755,,ODP-PKS-FP/12,-7.952656,112.69112,,,1,7,0,0,8,REGIONAL 5,MALANG,MALANG,PKS,PAKIS,,2024-03-16 23:27:12,2020-08-31,2020,8,NON TITO,,,JAWA TIMUR,0.875,ORANGE,840569843,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,MALANG,PAKIS,ASRIKATON,BATU
5684599690,,ODP-BLB-FDX/111,-7.962216,112.65344,,,1,7,0,0,8,REGIONAL 5,MALANG,MALANG,BLB,BLIMBING,,2024-03-16 23:27:25,2020-11-25,2020,11,NON TITO,,,JAWA TIMUR,0.875,ORANGE,857110720,AREA 3,JATIM,MALANG,MALANG,,,0,0,0,JAWA TIMUR,KOTA MALANG,BLIMBING,PANDANWANGI,BATU
