DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
2137243862,,ODP-BJN-FC/21,-7.142461,111.899853,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2024-03-16 23:23:54,2018-01-11,2018,1,NON TITO,,,JAWA TIMUR,1.0,RED,267990017,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,BOJONEGORO,BANJARREJO,BOJONEGORO
12017218585,,ODP-SMJ-FD/48,-7.152242,112.01713,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2024-12-17 17:33:45,2024-12-16,2024,12,NON TITO,,,JAWA TIMUR,1.0,RED,1495442939,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,KANOR,PALEMBON,BOJONEGORO
1345788829,,ODP-SMJ-FS/24,-7.176446,112.002889,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2024-12-19 17:39:50,2017-04-07,2017,4,NON TITO,,,JAWA TIMUR,1.0,RED,81198015,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,SUMBEREJO,SUMBERREJO,BOJONEGORO
5097945948,,ODP-SMJ-FS/31,-7.176811,112.001372,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2024-12-19 17:42:37,2020-06-22,2020,6,NON TITO,,,JAWA TIMUR,1.0,RED,830873307,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,SUMBEREJO,SUMBERREJO,BOJONEGORO
11220718618,,ODP-BJN-FL/120,-7.184292,111.863014,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2024-03-16 23:27:24,2023-12-23,2023,12,NON TITO,,,JAWA TIMUR,1.0,RED,1388844578,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,DANDER,SUMBER TLASEH,BOJONEGORO
4787371994,,ODP-SMJ-FQ/45,-7.157141,112.006639,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2024-12-19 17:40:55,2020-04-04,2020,4,NON TITO,,,JAWA TIMUR,1.0,RED,827665872,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,KANOR,PESEN,BOJONEGORO
4457593928,,ODP-SMJ-FS/30,-7.175066,112.008942,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2024-12-19 17:45:18,2020-01-14,2020,1,NON TITO,,,JAWA TIMUR,1.0,RED,789794526,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,SUMBEREJO,SUMBERREJO,BOJONEGORO
408512945,,ODP-BJN-FA/01,-7.1481,111.8867,,,0,16,0,0,16,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2024-03-16 23:22:15,2016-05-16,2016,5,NON TITO,,,JAWA TIMUR,1.0,RED,25404155,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,BOJONEGORO,KARANG PACAR,BOJONEGORO
3712844239,,ODP-SMJ-FQ/37,-7.157097,112.005164,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,SMJ,,,2024-12-19 17:41:02,2019-07-11,2019,7,NON TITO,,,JAWA TIMUR,1.0,RED,638194088,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,KANOR,PESEN,BOJONEGORO
1980944485,,ODP-BJN-FX/49,-7.160088,111.899405,,,0,8,0,0,8,REGIONAL 5,MADIUN,BOJONEGORO,BJN,,,2024-03-16 23:27:20,2017-11-14,2017,11,NON TITO,,,JAWA TIMUR,1.0,RED,255696852,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,BOJONEGORO,BOJONEGORO,NGROWO,BOJONEGORO
