DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
11995093583,,ODP-WAT-FM/40,-7.890508,112.137425,,,6,2,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,WAT,,,2024-11-29 17:44:27,2024-11-28,2024,11,NON TITO,,,JAWA TIMUR,0.25,GREEN,1495395276,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,WATES,TEMPUREJO,KEDIRI
121157102,,ODP-KDI-FA/20,-7.8403,112.0305,,,14,2,0,0,16,REGIONAL 5,KEDIRI,KEDIRI,KDI,,,2024-03-16 23:26:26,2016-02-23,2016,2,NON TITO,,,JAWA TIMUR,0.125,GREEN,6559267,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,KOTA,NGRONGGO,KEDIRI
11642597688,,ODP-KDI-FH/47,-7.85729,112.004821,,,6,2,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,KDI,,,2024-07-30 17:41:15,2024-07-29,2024,7,NON TITO,,,JAWA TIMUR,0.25,GREEN,1449352700,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,NGADILUWIH,WONOREJO,KEDIRI
11644245016,,ODP-MJT-FAL/13,-7.850556,111.986478,,,5,3,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-08-09 17:35:21,2024-08-08,2024,8,NON TITO,,,JAWA TIMUR,0.375,GREEN,1456237600,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,SEMEN,SIDOMULYO,KEDIRI
11303219852,,ODP-WAT-FN/29,-7.918482,112.132918,,,6,2,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,WAT,,,2024-01-25 23:30:47,2024-01-25,2024,1,NON TITO,,,JAWA TIMUR,0.25,GREEN,1406300301,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,WATES,TAWANG,KEDIRI
11294593908,,ODP-MJT-FAP/23,-7.821166,111.986153,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,MJT,,,2024-01-23 23:16:38,2024-01-23,2024,1,NON TITO,,,JAWA TIMUR,0.125,GREEN,1406288945,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,MOJOROTO,CAMPUREJO,KEDIRI
121228343,,ODP-KDI-FJ/10,-7.8052,112.0154,,,9,5,0,0,16,REGIONAL 5,KEDIRI,KEDIRI,KDI,,,2024-03-16 23:28:06,2016-02-23,2016,2,NON TITO,,,JAWA TIMUR,0.3125,GREEN,6630628,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,KOTA,BALOWERTI,KEDIRI
11040794101,,ODP-PPR-FG/48,-7.645321,112.174009,,,6,2,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,PPR,,,2023-12-05 17:17:50,2023-12-04,2023,12,NON TITO,,,JAWA TIMUR,0.25,GREEN,1381986300,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,KUNJANG,PAKIS,KEDIRI
11682196546,,ODP-SBI-FB/02,-8.013286,112.003065,,,7,1,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,SBI,,,2024-08-21 17:24:08,2024-08-20,2024,8,NON TITO,,,JAWA TIMUR,0.125,GREEN,1457068458,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KEDIRI,RINGINREJO,JEMEKAN,KEDIRI
10798243532,,ODP-KDI-FAG/57,-7.867532,112.039679,,,6,2,0,0,8,REGIONAL 5,KEDIRI,KEDIRI,KDI,,,2023-10-21 18:19:02,2023-10-21,2023,10,NON TITO,,,JAWA TIMUR,0.25,GREEN,1329670923,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,KOTA KEDIRI,PESANTREN,BLABAK,KEDIRI
