DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
387848553,,ODP-MNZ-FP/38,-7.6457,111.5306,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:22:35,2016-05-12,2016,5,NON TITO,,,JAWA TIMUR,0.0,BLACK,23483677,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,TAMAN,PANDEAN,MADIUN
12036045391,,ODP-CRB-FJ/17,-7.619321,111.738412,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,CRB,,,2025-01-25 17:38:59,2025-01-24,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495861865,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,GEMARANG,GEMARANG,MADIUN
12036045386,,ODP-CRB-FJ/20,-7.61288,111.739222,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,CRB,,,2025-01-25 17:41:30,2025-01-24,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495861862,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,GEMARANG,GEMARANG,MADIUN
2228294339,,ODP-MNZ-FAA/57,-7.62204,111.546103,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,MNZ,,,2024-03-16 23:26:17,2018-02-10,2018,2,NON TITO,,,JAWA TIMUR,0.0,BLACK,319611471,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,KOTA MADIUN,KARTOHARJO,PILANGBANGO,MADIUN
12036045371,,ODP-CRB-FJ/19,-7.613424,111.737488,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,CRB,,,2025-01-25 17:40:58,2025-01-24,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495861849,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,GEMARANG,GEMARANG,MADIUN
12037169999,,ODP-CRB-FQ/15,-7.485062,111.669605,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,CRB,,,2025-01-25 17:41:12,2025-01-24,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495859046,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,PILANGKENCENG,KENONGOREJO,MADIUN
12037169994,,ODP-CRB-FQ/03,-7.484666,111.685496,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,CRB,,,2025-01-25 17:40:15,2025-01-24,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495859041,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,PILANGKENCENG,DAWUHAN,MADIUN
12037169974,,ODP-CRB-FQ/17,-7.484719,111.663793,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,CRB,,,2025-01-25 17:41:12,2025-01-24,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495859028,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,PILANGKENCENG,KENONGOREJO,MADIUN
12037169969,,ODP-CRB-FQ/16,-7.485272,111.666885,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,CRB,,,2025-01-25 17:39:59,2025-01-24,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495859025,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,PILANGKENCENG,KENONGOREJO,MADIUN
12037169964,,ODP-CRB-FQ/04,-7.482307,111.684286,,,8,0,0,0,8,REGIONAL 5,MADIUN,MADIUN,CRB,,,2025-01-25 17:40:01,2025-01-24,2025,1,NON TITO,,,JAWA TIMUR,0.0,BLACK,1495859022,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,PILANGKENCENG,DAWUHAN,MADIUN
