DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
1205819032,,ODP-NJK-FX/12,-7.596023,111.914351,,,0,16,0,0,16,REGIONAL 5,KEDIRI,NGANJUK,NJK,,,2024-03-16 23:21:43,2017-02-02,2017,2,NON TITO,,,JAWA TIMUR,1.0,RED,41220286,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,NGANJUK,WERUNGOTOK,NGANJUK
5832269581,,ODP-KTS-FD/84,-7.573254,112.045142,,,0,8,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:28:24,2021-01-01,2021,1,NON TITO,,,JAWA TIMUR,1.0,RED,858962997,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,BARON,KATERBAN,NGANJUK
1205819253,,ODP-NJK-FX/13,-7.596067,111.913708,,,0,16,0,0,16,REGIONAL 5,KEDIRI,NGANJUK,NJK,,,2024-03-16 23:22:24,2017-02-02,2017,2,NON TITO,,,JAWA TIMUR,1.0,RED,41220342,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,NGANJUK,WERUNGOTOK,NGANJUK
3125593705,,ODP-PRB-FB/45,-7.692207,112.041773,,,0,8,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,PRB,,,2024-03-16 23:28:32,2018-11-23,2018,11,NON TITO,,,JAWA TIMUR,1.0,RED,406413545,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,NGRONGGOT,CENGKOK,NGANJUK
5832420073,,ODP-WRJ-FA/59,-7.629485,112.018374,,,0,8,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,WRJ,,,2024-03-16 23:26:07,2021-01-01,2021,1,NON TITO,,,JAWA TIMUR,1.0,RED,858958858,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,TANJUNGANOM,WARUJAYENG,NGANJUK
5832420058,,ODP-WRJ-FA/58,-7.631353,112.017962,,,0,8,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,WRJ,,,2024-03-16 23:26:22,2021-01-01,2021,1,NON TITO,,,JAWA TIMUR,1.0,RED,858958844,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,TANJUNGANOM,WARUJAYENG,NGANJUK
5832420053,,ODP-WRJ-FA/57,-7.63358,112.017393,,,0,8,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,WRJ,,,2024-03-16 23:26:22,2021-01-01,2021,1,NON TITO,,,JAWA TIMUR,1.0,RED,858958839,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,TANJUNGANOM,WARUJAYENG,NGANJUK
3162868815,,ODP-GDN-FC/28,-7.523085,111.906658,,,0,8,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,GON,GONDANG,,2024-03-16 23:21:44,2018-12-06,2018,12,NON TITO,,,JAWA TIMUR,1.0,RED,406974303,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,REJOSO,REJOSO,NGANJUK
5832420043,,ODP-WRJ-FA/55,-7.636674,112.016582,,,0,8,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,WRJ,,,2024-03-16 23:25:54,2021-01-01,2021,1,NON TITO,,,JAWA TIMUR,1.0,RED,858958831,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,TANJUNGANOM,WARUJAYENG,NGANJUK
1237319762,,ODP-KTS-FG/25,-7.607058,112.069376,,,0,8,0,0,8,REGIONAL 5,KEDIRI,NGANJUK,KTS,,,2024-03-16 23:28:55,2017-02-10,2017,2,NON TITO,,,JAWA TIMUR,1.0,RED,62467909,AREA 3,JATIM,MADIUN,KEDIRI,,,0,0,0,JAWA TIMUR,NGANJUK,BARON,GEBANGKEREP,NGANJUK
