DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
7463593734,,ODP-WKU-FAA/33,-7.426589,111.198464,,,2,14,0,0,16,REGIONAL 5,MADIUN,NGAWI,WKU,,,2024-03-16 23:28:50,2021-08-25,2021,8,NON TITO,,,JAWA TIMUR,0.875,ORANGE,1027321376,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,WIDODAREN,BANYUBIRU,NGAWI
7388818714,,ODP-MGT-FS/18,-7.654596,111.385411,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,MGT,,,2024-03-16 23:26:49,2021-08-13,2021,8,NON TITO,,,JAWA TIMUR,0.875,ORANGE,980670076,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,SUKOMORO,TAMANAN,NGAWI
1273469636,,ODP-WKU-FC/05,-7.400138,111.22574,,,1,15,0,0,16,REGIONAL 5,MADIUN,NGAWI,WKU,,,2023-08-30 18:07:26,2017-02-19,2017,2,NON TITO,,,JAWA TIMUR,0.9375,ORANGE,69901657,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,WIDODAREN,WALIKUKUN,NGAWI
1834768619,,ODP-NWI-FA/57,-7.495064,111.417288,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:23:00,2017-09-16,2017,9,NON TITO,,,JAWA TIMUR,0.875,ORANGE,193609301,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,GENENG,TEPAS,NGAWI
7347720090,,ODP-MGT-FW/51,-7.612239,111.303144,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,MGT,,,2024-03-16 23:26:47,2021-08-09,2021,8,NON TITO,,,JAWA TIMUR,0.875,ORANGE,964470438,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,PANEKAN,TURI,NGAWI
1858096132,,ODP-KRJ-FE/08,-7.519953,111.634332,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,KRJ,,,2024-03-16 23:24:52,2017-09-27,2017,9,NON TITO,,,JAWA TIMUR,0.875,ORANGE,212658367,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,PILANGKENCENG,PURWOREJO,NGAWI
7292518724,,ODP-MGT-FP/45,-7.674784,111.307487,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,MGT,,,2024-03-16 23:21:49,2021-08-04,2021,8,NON TITO,,,JAWA TIMUR,0.875,ORANGE,958846062,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,NGARIBOYO,SELOPANGGUNG,NGAWI
1858096135,,ODP-KRJ-FE/01,-7.516539,111.627216,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,KRJ,,,2024-03-16 23:25:45,2017-09-27,2017,9,NON TITO,,,JAWA TIMUR,0.875,ORANGE,212658369,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,BALEREJO,KUWU,NGAWI
1858096493,,ODP-KRJ-FE/03,-7.499257,111.623732,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,KRJ,,,2024-03-16 23:25:38,2017-09-27,2017,9,NON TITO,,,JAWA TIMUR,0.875,ORANGE,212658583,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MADIUN,PILANGKENCENG,PULEREJO,NGAWI
1890270417,,ODP-NWI-FJ/23,-7.474973,111.344197,,,3,14,0,0,17,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:29:08,2017-10-10,2017,10,NON TITO,,,JAWA TIMUR,0.82352941176471,ORANGE,238178777,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,PARON,TEGUHAN,NGAWI
1890270422,,ODP-NWI-FJ/24,-7.476578,111.34237,,,3,13,0,0,16,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:29:15,2017-10-10,2017,10,NON TITO,,,JAWA TIMUR,0.8125,ORANGE,238178836,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,PARON,TEGUHAN,NGAWI
408518409,,ODP-SAR-FB/15,-7.681007,111.236594,,,2,14,0,0,16,REGIONAL 5,MADIUN,NGAWI,SAR,,,2024-03-16 23:23:07,2016-05-16,2016,5,NON TITO,,,JAWA TIMUR,0.875,ORANGE,25409330,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,MAGETAN,PLAOSAN,DADI,NGAWI
11381818626,,ODP-JGO-FA/86,-7.504188,111.259845,,,0,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,JGO,,,2024-03-16 23:28:40,2024-02-29,2024,2,NON TITO,,,JAWA TIMUR,0.875,ORANGE,1414037194,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,JOGOROGO,DAWUNG,NGAWI
7312018855,,ODP-NWI-FA/103,-7.504542,111.409619,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,NWI,,,2024-03-16 23:25:03,2021-08-03,2021,8,NON TITO,,,JAWA TIMUR,0.875,ORANGE,957282357,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,GERIH,GUYUNG,NGAWI
8368243869,,ODP-WKU-FJ/56,-7.412049,111.331562,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,WKU,,,2025-06-03 17:43:55,2022-01-21,2022,1,NON TITO,,,JAWA TIMUR,0.875,ORANGE,1165097777,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,KEDUNGGALAR,JENGGRIK,NGAWI
1948019280,,ODP-WKU-FAA/09,-7.440499,111.199904,,,1,7,0,0,8,REGIONAL 5,MADIUN,NGAWI,WKU,,,2024-03-16 23:24:23,2017-10-27,2017,10,NON TITO,,,JAWA TIMUR,0.875,ORANGE,238631117,AREA 3,JATIM,MADIUN,MADIUN,,,0,0,0,JAWA TIMUR,NGAWI,WIDODAREN,BANYUBIRU,NGAWI
