DEVICE ID,ODP INDEX,ODP NAME,LATITUDE,LONGITUDE,CLUSNAME,CLUSTERSATATUS,AVAI,USED,RSV,RSK,IS TOTAL,Telkom Regional,Telkom Witel,Telkom Datel,Telkom STO,Telkom STO Deskripsi,ODP INFO,UPDATE DATE,TGL GOLIVE,TAHUN ODP,BULAN ODP,KATEGORI,NAMA PROYEK,KABUPATEN KOTA,PROVINSI,OCC 1,OCC 2,ID ODP,Telkomsel Area,Telkomsel Regional,Telkomsel Branch,Telkomsel Cluster,Validasi STO,Validasi ODC,Jarak ODP ke ODC (Meter),Jarak ODC ke STO (Meter),Jarak ODP ke STO (Meter),Validasi Provinsi,Validasi Kabupaten Kota,Validasi Kecamatan,Validasi Kelurahan,Telda
408591250,,ODP-TNZ-FB/31,-6.9032,112.0417,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:25:09,2016-05-16,2016,5,NON TITO,,,JAWA TIMUR,1.0,RED,25483007,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,SEMANDING,KARANG,TUBAN
2252518862,,ODP-TNZ-FN/20,-6.896461,112.060413,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:15,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893305,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,SIDOMULYO,TUBAN
408507384,,ODP-TNZ-FB/16,-6.904,112.0426,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:28:37,2016-05-16,2016,5,NON TITO,,,JAWA TIMUR,1.0,RED,25474528,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,SEMANDING,KARANG,TUBAN
2252518901,,ODP-TNZ-FM/06,-6.889264,112.055939,,,0,16,0,0,16,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:20,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893331,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,KINGKING,TUBAN
2252518992,,ODP-TNZ-FQ/17,-6.901833,112.057885,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:19,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893387,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,DOROMUKTI,TUBAN
2252518904,,ODP-TNZ-FR/10,-6.899338,112.060889,,,0,16,0,0,16,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:20,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893333,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,KEBONSARI,TUBAN
2252518944,,ODP-TNZ-FP/11,-6.90233,112.067403,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:26,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893355,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,KEBONSARI,TUBAN
842443575,,ODP-JTR-FAA/10,-6.886701,111.659879,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,JTR,,,2024-03-16 23:23:05,2016-08-25,2016,8,NON TITO,,,JAWA TIMUR,1.0,RED,34404509,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,JATIROGO,SUGIHAN,TUBAN
2252518950,,ODP-TNZ-FP/01,-6.906023,112.064934,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:21,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893359,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,SEMANDING,GEDONGOMBO,TUBAN
2252518823,,ODP-TNZ-FQ/10,-6.902147,112.055252,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:14,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893281,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,SIDOREJO,TUBAN
408505159,,ODP-TNZ-FB/01,-6.9061,112.0425,,,0,16,0,0,16,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:28:21,2016-05-16,2016,5,NON TITO,,,JAWA TIMUR,1.0,RED,25472343,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,SEMANDING,KARANG,TUBAN
2252518817,,ODP-TNZ-FP/18,-6.90073,112.063218,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:20,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893277,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,KEBONSARI,TUBAN
2252518859,,ODP-TNZ-FR/09,-6.899563,112.061737,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:15,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893303,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,KEBONSARI,TUBAN
2301118895,,ODP-JTR-FA/10,-6.972396,111.789878,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,JTR,,,2024-03-16 23:23:53,2018-03-08,2018,3,NON TITO,,,JAWA TIMUR,1.0,RED,324466428,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,SINGGAHAN,MULYOAGUNG,TUBAN
2252519068,,ODP-TNZ-FS/06,-6.897455,112.067031,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:17,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893434,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,SENDANGHARJO,TUBAN
2252519128,,ODP-TNZ-FL/01,-6.897279,112.049049,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:11,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893469,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,SIDOREJO,TUBAN
408593274,,ODP-TNZ-FD/40,-6.902,112.0717,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:52,2016-05-16,2016,5,NON TITO,,,JAWA TIMUR,1.0,RED,25484509,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,SEMANDING,GEDONGOMBO,TUBAN
1870619287,,ODP-RGL-FAB/15,-7.065122,112.004309,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,RGL,,,2024-03-16 23:28:53,2017-09-29,2017,9,NON TITO,,,JAWA TIMUR,1.0,RED,219472806,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,RENGEL,RENGEL,TUBAN
2284549428,,ODP-JTR-FB/15,-7.016216,111.723567,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,JTR,,,2024-03-16 23:24:40,2018-03-05,2018,3,NON TITO,,,JAWA TIMUR,1.0,RED,324109646,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,SENORI,JATISARI,TUBAN
2252518704,,ODP-TNZ-FQ/03,-6.898572,112.055398,,,0,8,0,0,8,REGIONAL 5,MADIUN,TUBAN,TNZ,,,2024-03-16 23:24:26,2018-02-20,2018,2,NON TITO,,,JAWA TIMUR,1.0,RED,323893205,AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,,,0,0,0,JAWA TIMUR,TUBAN,TUBAN,SIDOREJO,TUBAN
